Channel,Rank,Bank,Row,Col,Count,Cycle,CMD
0,1,2,32705,107,17,3454:,WR
0,1,2,32705,107,18,3458:,WR
0,1,2,32705,107,19,3462:,WR
0,1,2,32705,107,20,3466:,WR
0,1,2,32705,107,21,3470:,WR
0,1,2,32705,107,22,3474:,WR
0,1,2,32705,107,23,3478:,WR
0,1,2,32705,107,24,3482:,WR
0,1,2,32705,107,25,3486:,WR
0,1,2,32705,107,26,3490:,WR
0,1,2,32705,107,27,3494:,WR
0,1,2,32705,107,28,3498:,WR
0,1,2,32705,107,29,3502:,WR
0,1,2,32705,107,30,3506:,WR
0,1,2,32705,107,31,3510:,WR
0,1,2,32705,107,32,3514:,WR
0,1,2,32705,107,33,3518:,WR
0,1,2,32705,107,34,3522:,WR
0,1,2,32705,107,35,3526:,WR
0,1,2,32705,107,36,3661:,WR
0,1,2,32705,107,37,3665:,WR
0,1,2,32705,107,38,3669:,WR
0,1,2,32705,107,39,3673:,WR
0,1,2,32705,107,40,3677:,WR
0,1,2,32705,107,41,3681:,WR
0,1,2,32705,107,42,3685:,WR
0,1,2,32705,107,43,3689:,WR
0,1,2,32705,107,44,3693:,WR
0,1,2,32705,107,45,3697:,WR
0,1,2,32705,107,46,3701:,WR
0,1,2,32705,107,47,3705:,WR
0,1,2,32705,107,48,3709:,WR
0,1,2,32705,107,49,3713:,WR
0,1,2,32705,107,50,3717:,WR
0,1,2,32705,107,51,3721:,WR
0,1,2,32705,107,52,3725:,WR
0,1,2,32705,107,53,3729:,WR
0,1,2,32705,107,54,3733:,WR
0,1,2,32705,107,55,3737:,WR
0,1,2,32705,107,56,3741:,WR
0,1,2,32705,107,57,3852:,WR
0,1,2,32705,107,58,3856:,WR
0,1,2,32705,107,59,3860:,WR
0,1,2,32705,107,60,3864:,WR
0,1,2,32705,107,61,3868:,WR
0,1,2,32705,107,62,3872:,WR
0,1,2,32705,107,63,3876:,WR
0,1,2,32705,107,64,3880:,WR
0,1,2,32705,108,1,3274:,WR
0,1,2,32705,108,2,3282:,WR
0,1,2,32705,108,3,3884:,WR
0,1,2,32705,108,4,3888:,WR
0,1,2,32705,108,5,3892:,WR
0,1,2,32705,108,6,3896:,WR
0,1,2,32705,108,7,3900:,WR
0,1,2,32705,108,8,3904:,WR
0,1,2,32705,108,9,3908:,WR
0,1,2,32705,108,10,3912:,WR
0,1,2,32705,108,11,3916:,WR
0,1,2,32705,108,12,3920:,WR
0,1,2,32705,108,13,3924:,WR
0,1,2,32705,108,14,3928:,WR
0,1,2,32705,108,15,3932:,WR
0,1,2,32705,108,16,4043:,WR
0,1,2,32705,108,17,4047:,WR
0,1,2,32705,108,18,4051:,WR
0,1,2,32705,108,19,4055:,WR
0,1,2,32705,108,20,4059:,WR
0,1,2,32705,108,21,4063:,WR
0,1,2,32705,108,22,4067:,WR
0,1,2,32705,108,23,4071:,WR
0,1,2,32705,108,24,4075:,WR
0,1,2,32705,108,25,4079:,WR
0,1,2,32705,108,26,4083:,WR
0,1,2,32705,108,27,4087:,WR
0,1,2,32705,108,28,4091:,WR
0,1,2,32705,108,29,4095:,WR
0,1,2,32705,108,30,4099:,WR
0,1,2,32705,108,31,4103:,WR
0,1,2,32705,108,32,4107:,WR
0,1,2,32705,108,33,4111:,WR
0,1,2,32705,108,34,4115:,WR
0,1,2,32705,108,35,4119:,WR
0,1,2,32705,108,36,4123:,WR
0,1,2,32705,108,37,4234:,WR
0,1,2,32705,108,38,4238:,WR
0,1,2,32705,108,39,4242:,WR
0,1,2,32705,108,40,4246:,WR
0,1,2,32705,108,41,4250:,WR
0,1,2,32705,108,42,4254:,WR
0,1,2,32705,108,43,4258:,WR
0,1,2,32705,108,44,4262:,WR
0,1,2,32705,108,45,4266:,WR
0,1,2,32705,108,46,4270:,WR
0,1,2,32705,108,47,4274:,WR
0,1,2,32705,108,48,4278:,WR
0,1,2,32705,108,49,4282:,WR
0,1,2,32705,108,50,4286:,WR
0,1,2,32705,108,51,4290:,WR
0,1,2,32705,108,52,4294:,WR
0,1,2,32705,108,53,4298:,WR
0,1,2,32705,108,54,4302:,WR
0,1,2,32705,108,55,4306:,WR
0,1,2,32705,108,56,4310:,WR
0,1,2,32705,108,57,4314:,WR
0,1,2,32705,108,58,4405:,WR
0,1,2,32705,108,59,4413:,WR
0,1,2,32705,108,60,4417:,WR
0,1,2,32705,108,61,4421:,WR
0,1,2,32705,108,62,4425:,WR
0,1,2,32705,108,63,4437:,WR
0,1,2,32705,108,64,4441:,WR
0,1,3,32751,118,1,102:,RD
0,1,3,32751,118,2,93:,RD
0,1,4,0,17,1,114:,RD
0,1,4,0,17,2,143:,RD
0,1,4,0,17,3,148:,RD
0,1,4,0,17,4,152:,RD
0,1,4,0,18,1,106:,RD
0,1,4,0,18,2,1097:,RD
0,1,4,0,18,3,1714:,RD
0,1,4,0,18,4,1874:,RD
0,1,4,0,18,5,1882:,RD
0,1,4,0,18,6,2071:,RD
0,1,4,0,18,7,210:,RD
0,1,4,0,18,8,2153:,RD
